w_content,w_semantic,w_sentiment,w_rating_quality,w_agreement,precision@5,recall@5,ndcg@5,precision@10,recall@10,ndcg@10
0.2,0.05,0.05,0.6000000000000001,0.1,0.4166666666666667,0.02112432450139413,0.41678337493266077,0.3458333333333334,0.0327830377853982,0.3667437346937255
0.1,0.05,0.1,0.55,0.2,0.35833333333333334,0.017464891147159833,0.3748577586048846,0.3541666666666667,0.03439977773486825,0.3666670931902482
0.05,0.15000000000000002,0.1,0.6000000000000001,0.1,0.425,0.021959136568591126,0.4368845231298468,0.32916666666666666,0.03172257731511365,0.36500682879176843
0.05,0.05,0.1,0.45,0.35000000000000003,0.39166666666666666,0.018915723568667983,0.41424781351501866,0.3333333333333333,0.03267582552494539,0.3646711708416988
0.30000000000000004,0.05,0.05,0.55,0.05,0.375,0.01845450991132745,0.3734010406198139,0.3625,0.03427331003753093,0.3641535176744928
0.15000000000000002,0.05,0.1,0.6000000000000001,0.1,0.375,0.018000088925999733,0.387649424105542,0.3458333333333334,0.033646997215867384,0.3640262812542558
0.15000000000000002,0.1,0.05,0.55,0.15000000000000002,0.375,0.019538825915381614,0.3857991673514703,0.3499999999999999,0.03434304227924998,0.3636978227158787
0.15000000000000002,0.2,0.05,0.55,0.05,0.375,0.01959931655731777,0.38268514062363224,0.3499999999999999,0.03326014472705192,0.3634797699900733
0.1,0.15000000000000002,0.05,0.5,0.2,0.3666666666666667,0.019371661616209356,0.3779973184618441,0.3499999999999999,0.03330104908955219,0.3630726915748013
0.15000000000000002,0.05,0.05,0.55,0.2,0.3833333333333333,0.019818973544978545,0.39544362070794437,0.34166666666666673,0.0332251464386832,0.3616705142129884
0.05,0.2,0.05,0.55,0.15000000000000002,0.3666666666666667,0.01939624921567491,0.3850963510288877,0.3416666666666666,0.03302339445597413,0.3614163696566665
0.25,0.1,0.05,0.55,0.05,0.375,0.01858847905440773,0.35767040601989386,0.3708333333333333,0.035070882070247965,0.36124789864114976
0.05,0.05,0.05,0.30000000000000004,0.55,0.3583333333333334,0.018821546519405315,0.3767080153589562,0.34583333333333327,0.034037608600019975,0.3609512786941526
0.1,0.05,0.05,0.4,0.4,0.3833333333333333,0.01881714737532241,0.3922457019475722,0.33749999999999997,0.03281805816024017,0.35737302995938713
0.05,0.2,0.1,0.6000000000000001,0.05,0.3833333333333333,0.0201154781569186,0.3898600342122694,0.33749999999999997,0.03287454369758679,0.3550912059116332
0.2,0.15000000000000002,0.05,0.55,0.05,0.3833333333333333,0.018917660004159516,0.37443904634881625,0.35000000000000003,0.03524351081602134,0.3545634832818525
0.2,0.05,0.1,0.6000000000000001,0.05,0.39166666666666666,0.019140985787836462,0.3875327158395479,0.34166666666666673,0.03347797478990498,0.35381249907238893
0.1,0.25,0.05,0.55,0.05,0.3583333333333334,0.018914268971315967,0.36646980165866977,0.3416666666666666,0.032927802505274266,0.352701458131165
0.05,0.05,0.2,0.65,0.05,0.375,0.01700095647077388,0.3997813276125816,0.31666666666666665,0.030174695514751354,0.3515311722661456
0.15000000000000002,0.15000000000000002,0.05,0.55,0.1,0.375,0.019693165521719364,0.3697005271116707,0.3458333333333334,0.03385882143620456,0.3509607075463463
0.05,0.15000000000000002,0.05,0.45,0.30000000000000004,0.3833333333333333,0.020240488973692527,0.3940707947554077,0.3208333333333333,0.03115712804096564,0.34591054105379976
0.15000000000000002,0.05,0.05,0.5,0.25,0.375,0.019462848188853188,0.3883777830980774,0.3208333333333333,0.03152561136608939,0.3456142861257403
0.1,0.2,0.05,0.55,0.1,0.3666666666666667,0.019297091015088034,0.3793121642346846,0.32083333333333336,0.03110442628280988,0.34360565298217205
0.1,0.1,0.1,0.55,0.15000000000000002,0.35000000000000003,0.01839314522402949,0.3599900721053913,0.3333333333333333,0.03291961629188238,0.34317688944232755
0.1,0.05,0.15000000000000002,0.6000000000000001,0.1,0.3333333333333333,0.015140475333365771,0.348805018272144,0.32916666666666666,0.03236487813799623,0.34197663723819066
0.30000000000000004,0.1,0.05,0.5,0.05,0.3583333333333334,0.01754025090239481,0.34291942778639467,0.3499999999999999,0.03511922435135619,0.3410735001356792
0.05,0.1,0.05,0.35000000000000003,0.45,0.35000000000000003,0.01865111794495263,0.36866252138266836,0.3208333333333333,0.03098657933234116,0.3409754085520167
0.05,0.05,0.15000000000000002,0.55,0.2,0.35833333333333334,0.01645399719392423,0.3849464573465484,0.30833333333333335,0.029365633226746474,0.34046313534961675
0.1,0.1,0.15000000000000002,0.6000000000000001,0.05,0.35833333333333334,0.01896402115268068,0.37696696502006577,0.31666666666666665,0.031363078305859445,0.3401986818371551
0.15000000000000002,0.1,0.05,0.5,0.2,0.35000000000000003,0.018517899973027493,0.3625001003939122,0.325,0.03204404356074952,0.33970406967246874
